"id","title","videoUrl"
"da9e47b0-ac2e-11e9-8a69-bb4b29648562","Low Impact Beginner Cardio Workout - Feel Good Recovery Cardio","https://www.youtube.com/embed/gvLAtoKVvAM?rel=0&&showinfo=0"
"db7aec10-ac2e-11e9-8a69-bb4b29648562","Intense HIIT Cardio Kickboxing and Upper Body Strength Workout","https://www.youtube.com/embed/UAUdgU83Vx8?rel=0&&showinfo=0"
"dc1f1b50-ac2e-11e9-8a69-bb4b29648562","Bodyweight HIIT Cardio Workout - Sweaty At Home Cardio HIIT","https://www.youtube.com/embed/IzrxQPcPqr8?rel=0&&showinfo=0"
"dcc87ab0-ac2e-11e9-8a69-bb4b29648562","Strength and HIIT Workout - Intense Lower Body Workout","https://www.youtube.com/embed/f5qCnMhqs18?rel=0&&showinfo=0"
"dd731290-ac2e-11e9-8a69-bb4b29648562","Fun Upper Body Workout for Great Arms & Shoulders (Bored Easily)","https://www.youtube.com/embed/wCbI4zEbW5M?rel=0&&showinfo=0"
"de243a20-ac2e-11e9-8a69-bb4b29648562","All Strength Upper Body Workout - Upper Body Muscle Building Workout","https://www.youtube.com/embed/v6vsSkZPmuA?rel=0&&showinfo=0"
"def17530-ac2e-11e9-8a69-bb4b29648562","At Home Butt and Thigh Workout - Strength, Pilates and Barre Workout","https://www.youtube.com/embed/BtBQm4BBsR0?rel=0&&showinfo=0"
"e119ac60-ac2e-11e9-8a69-bb4b29648562","Fat Burning Cardio and Butt and Thigh Workout - Advanced & Low Impact Modifications","https://www.youtube.com/embed/_Iujuo9fLhg?rel=0&&showinfo=0"
"e1acc4a0-ac2e-11e9-8a69-bb4b29648562","10 Minutes Abs Workout - Advanced Weighted Core Workout","https://www.youtube.com/embed/l9KShkPJty4?rel=0&&showinfo=0"
"e25ab7e0-ac2e-11e9-8a69-bb4b29648562","Fat Burning Butt and Thigh Workout - Strength Training Sweatfest for People Who Get Bored Easily","https://www.youtube.com/embed/NljaynACdxA?rel=0&&showinfo=0"
"e31bbdf0-ac2e-11e9-8a69-bb4b29648562","15 Minute HIIT Workout - No Equipment HIIT Cardio At Home","https://www.youtube.com/embed/0DSrudz6IVY?rel=0&&showinfo=0"
"e3cee150-ac2e-11e9-8a69-bb4b29648562","Ultimate HIIT Workout for People Who Get Bored Easily - Fat Burning HIIT Cardio Workout","https://www.youtube.com/embed/tbbZBtdd20U?rel=0&&showinfo=0"
"e4635920-ac2e-11e9-8a69-bb4b29648562","Brutal HIIT Workout Game: Fat Burning Ladder, Pyramid and Tabata HIIT at Home","https://www.youtube.com/embed/HReVjURVMPs?rel=0&&showinfo=0"
"e4f0a500-ac2e-11e9-8a69-bb4b29648562","Fitness Blender's Free 3-Day Flexibility Challenge: Day 3 (Static Stretches for Flexibility and Range of Motion)","https://www.youtube.com/embed/eV7hkrp9nII?rel=0&&showinfo=0"
"e5856af0-ac2e-11e9-8a69-bb4b29648562","Fitness Blender's Free 3-Day Flexibility Challenge: Day 2 (Pilates Yoga Blend for Flexibility and Toning)","https://www.youtube.com/embed/xCsETuMdp2w?rel=0&&showinfo=0"
